application_decision_id,loan_application_id,decision_code,decision_method,decision_reason_code,decision_reason,approved_amount,approved_term,annual_interest_rate,decided_by,decided_at,created_at,updated_at
c4521023-a4d4-5c5a-ba4e-dd5ac6d83377,c8d38c18-ef0d-5a67-a841-2a7855b56940,REJECTED,AUTO,CREDIT_SCORE_FAIL,Credit assessment failed,,,,LOS_ENGINE,2026-04-06 09:28:00,2026-04-06 09:28:00,2026-04-06 09:28:00
5641383d-156b-5734-af23-eed8f273f1b9,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,REJECTED,AUTO,MIN_INCOME_FAIL,Mandatory income rule failed,,,,LOS_ENGINE,2026-04-11 09:29:00,2026-04-11 09:29:00,2026-04-11 09:29:00
0bd6d2db-964b-5180-909d-29d09ae96b38,8a47a28f-f05e-53a0-b946-48468219430d,MANUAL_REVIEW,AUTO,HIGH_DTI_REFER,Application routed to underwriter,,,,LOS_ENGINE,2026-04-16 09:30:00,2026-04-16 09:30:00,2026-04-16 09:30:00
3518d7b7-66d5-53de-bf34-c6a54d965b0a,fa4c2679-b157-5550-b751-4697069d4086,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,40000000.00,12,0.2400,LOS_ENGINE,2026-04-21 09:31:00,2026-04-21 09:31:00,2026-04-21 09:31:00
0545c054-b646-59da-b5a8-d4474f8539c4,6760c9d5-2896-5c35-9f96-56d980c5f8ae,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,48000000.00,24,0.2000,LOS_ENGINE,2026-04-26 09:32:00,2026-04-26 09:32:00,2026-04-26 09:32:00
19ba0036-23ac-56b0-bbc9-4708275acbe0,35749f54-8cdb-56d9-8f13-f8bdea46301b,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,56000000.00,36,0.2400,LOS_ENGINE,2026-05-01 09:33:00,2026-05-01 09:33:00,2026-05-01 09:33:00
91b88d0a-8dbc-52e0-88b3-1fe5ad59a037,439e1b77-73e4-577a-8c40-44664b26c0f7,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,16000000.00,36,0.2000,LOS_ENGINE,2026-05-11 09:34:00,2026-05-11 09:34:00,2026-05-11 09:34:00
be71e0f1-bd0e-54a9-9805-9e55fe511d62,0eec06bf-9384-561a-a16b-8e167328b87b,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,24000000.00,36,0.2400,LOS_ENGINE,2026-05-12 09:35:00,2026-05-12 09:35:00,2026-05-12 09:35:00
11f89c22-8b62-5a93-919d-28cabc157663,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,32000000.00,36,0.2000,LOS_ENGINE,2026-05-13 09:36:00,2026-05-13 09:36:00,2026-05-13 09:36:00
5058b558-ffba-59f5-a453-797008a958ba,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,APPROVED,AUTO,ELIGIBLE,Credit assessment and mandatory rules passed,40000000.00,6,0.2400,LOS_ENGINE,2025-02-05 09:37:00,2025-02-05 09:37:00,2025-02-05 09:37:00
