loan_application_id,request_id,registration_id,customer_id,los_application_no,application_status_code,product_code,requested_amount,requested_term,loan_purpose,submitted_at,created_at,updated_at
e57a2ef9-998a-533f-b118-76f1e7b337f3,REQ20260413000013,c267b7a7-f8d8-5325-8f59-5fa4768ecdab,86c833a3-d025-5266-86d0-3ea234869f95,LOS20260413000013,DISBURSEMENT_REQUESTED,CASH_LOAN,20000000.00,36,PERSONAL,2026-04-13 09:17:00,2026-04-13 09:17:02,2026-04-13 09:23:00
9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,REQ20250106000014,7ad4d948-caad-594a-8132-5ec550534bf7,1e6a019a-d9cf-5477-b203-ff992cc3b728,LOS20250106000014,DISBURSEMENT_REQUESTED,CASH_LOAN,30000000.00,6,EDUCATION,2025-01-06 09:18:00,2025-01-06 09:18:02,2025-01-06 09:24:00
b5106ef0-1bc0-53ce-9d43-9d576f10c407,REQ20260327000017,3d41b981-b7dd-5604-81f3-362dadcb892f,edfa9be2-96b0-5765-87e8-396d85b19233,LOS20260327000017,RECEIVED,CASH_LOAN,60000000.00,24,EDUCATION,2026-03-27 09:21:00,2026-03-27 09:21:02,2026-03-27 09:22:00
af52bac5-f376-5c1b-aa7e-ad1b7b74f623,REQ20260401000018,c5309bc0-2ac4-5dc5-80b3-500aeb821557,47440573-ffb0-50b9-b72c-09ce544093c4,LOS20260401000018,VALIDATING,CASH_LOAN,70000000.00,36,BUSINESS,2026-04-01 09:22:00,2026-04-01 09:22:02,2026-04-01 09:24:00
c8d38c18-ef0d-5a67-a841-2a7855b56940,REQ20260406000019,6d0f3b3e-27ae-540d-8cc7-dc90a36b31f4,76a79541-f26a-5da1-88f2-4cafb0ca7910,LOS20260406000019,REJECTED,CASH_LOAN,20000000.00,12,PERSONAL,2026-04-06 09:23:00,2026-04-06 09:23:02,2026-04-06 09:27:00
ca73e0e4-b3f7-562c-afa5-9d20d204c76d,REQ20260411000020,6baddcf3-d706-5f81-b5dd-10c689bf9f81,11286653-6521-5748-b586-f13cb6baa14f,LOS20260411000020,REJECTED,CASH_LOAN,30000000.00,24,EDUCATION,2026-04-11 09:24:00,2026-04-11 09:24:02,2026-04-11 09:29:00
8a47a28f-f05e-53a0-b946-48468219430d,REQ20260416000021,800a523e-b0ee-53fe-9049-0e52d27af374,50dacf68-93dc-595e-bf09-8f6458a04bca,LOS20260416000021,MANUAL_REVIEW,CASH_LOAN,40000000.00,36,BUSINESS,2026-04-16 09:25:00,2026-04-16 09:25:02,2026-04-16 09:30:00
fa4c2679-b157-5550-b751-4697069d4086,REQ20260421000022,37d5f8b8-c39a-5bfd-bc04-9e0e5c1b5cc5,aab92294-f365-52a7-9cda-40fa0106354b,LOS20260421000022,APPROVED,CASH_LOAN,50000000.00,12,PERSONAL,2026-04-21 09:26:00,2026-04-21 09:26:02,2026-04-21 09:31:00
6760c9d5-2896-5c35-9f96-56d980c5f8ae,REQ20260426000023,321f11d4-5248-55ed-bb2a-2f36124e9979,95c4e364-5688-5e2d-a043-84e562519da2,LOS20260426000023,DISBURSEMENT_REQUESTED,CASH_LOAN,60000000.00,24,EDUCATION,2026-04-26 09:27:00,2026-04-26 09:27:02,2026-04-26 09:33:00
35749f54-8cdb-56d9-8f13-f8bdea46301b,REQ20260501000024,c484a234-6ca4-51ab-9bf3-ecb62930dee1,55d1354d-60b3-5ce2-8c01-c7fe72539b70,LOS20260501000024,DISBURSEMENT_REQUESTED,CASH_LOAN,70000000.00,36,BUSINESS,2026-05-01 09:28:00,2026-05-01 09:28:02,2026-05-01 09:34:00
439e1b77-73e4-577a-8c40-44664b26c0f7,REQ20260511000025,60fae302-95c3-5c8f-98b2-c56d68d6893b,9c77af5d-2917-5d3a-b5ce-0b11fd724114,LOS20260511000025,DISBURSEMENT_REQUESTED,CASH_LOAN,20000000.00,36,PERSONAL,2026-05-11 09:29:00,2026-05-11 09:29:02,2026-05-11 09:35:00
0eec06bf-9384-561a-a16b-8e167328b87b,REQ20260512000026,9571c027-0994-536d-bb26-8e0d4bbe7683,72552407-44ef-5535-a35b-5800112c59c8,LOS20260512000026,DISBURSEMENT_REQUESTED,CASH_LOAN,30000000.00,36,EDUCATION,2026-05-12 09:30:00,2026-05-12 09:30:02,2026-05-12 09:36:00
2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,REQ20260513000027,f634f6ac-a7e3-5d33-9892-52f9cc7ba0a8,8802faf9-c9e6-5189-8089-a5d80f1e2b17,LOS20260513000027,DISBURSEMENT_REQUESTED,CASH_LOAN,40000000.00,36,BUSINESS,2026-05-13 09:31:00,2026-05-13 09:31:02,2026-05-13 09:37:00
dc21cebf-27e9-58cd-9e6b-5883f4070aaf,REQ20250205000028,395f9182-fb63-5f62-8fd2-e97beb97e4aa,4764a209-dd42-5276-a545-7f7ee85bf15d,LOS20250205000028,DISBURSEMENT_REQUESTED,CASH_LOAN,50000000.00,6,PERSONAL,2025-02-05 09:32:00,2025-02-05 09:32:02,2025-02-05 09:38:00
