status_history_id,loan_application_id,status_sequence,application_status_code,status_reason,changed_by,changed_at
711ea88a-c07e-5178-8d17-e73d8220dffa,ae4fac37-93a2-5ba8-b850-5ada19f858e3,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-02-15 09:14:00
3193bd3e-8ae7-5845-b414-3444af290830,ae4fac37-93a2-5ba8-b850-5ada19f858e3,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-02-15 09:15:00
e6014434-4062-519a-a900-ef0816c2e113,ae4fac37-93a2-5ba8-b850-5ada19f858e3,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-02-15 09:16:00
f03819da-7f7a-5b5a-bbb4-192d1197e21b,ae4fac37-93a2-5ba8-b850-5ada19f858e3,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-02-15 09:17:00
e58cd634-bf76-5f2e-9512-dbded1d416a2,ae4fac37-93a2-5ba8-b850-5ada19f858e3,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-02-15 09:18:00
42f10b7d-c065-5355-b7c5-384b4e56a5ee,ae4fac37-93a2-5ba8-b850-5ada19f858e3,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-02-15 09:19:00
1a69538a-e7ee-5895-907f-befb8ec2c544,483af3a1-afca-5552-9372-3a03a7413d79,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-02-20 09:15:00
6eef80cd-f126-52ed-a957-a2b1ffc95e1e,483af3a1-afca-5552-9372-3a03a7413d79,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-02-20 09:16:00
168a1abf-6c45-559a-8836-a5e3bd3040f4,483af3a1-afca-5552-9372-3a03a7413d79,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-02-20 09:17:00
eb7e41ea-5ca0-50e8-862c-68acdd900ad3,483af3a1-afca-5552-9372-3a03a7413d79,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-02-20 09:18:00
7ca41794-c684-5cae-9eb1-bcb423cfbc35,483af3a1-afca-5552-9372-3a03a7413d79,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-02-20 09:19:00
ee9d50e8-9cc9-559a-86f2-a3e63619b5a5,483af3a1-afca-5552-9372-3a03a7413d79,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-02-20 09:20:00
89c64bd6-64f7-540a-934b-bd23a59e6a22,b9473789-25ec-5211-bc02-d9ca8cf51997,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-11 09:16:00
78e62985-0af7-532c-a5ec-1cfa52a4f5b6,b9473789-25ec-5211-bc02-d9ca8cf51997,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-11 09:17:00
cdb10c16-520d-5751-8ff9-0aee4084e6ba,b9473789-25ec-5211-bc02-d9ca8cf51997,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-11 09:18:00
5f8ca372-49df-548b-b231-a213e26eda2c,b9473789-25ec-5211-bc02-d9ca8cf51997,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-11 09:19:00
414fe089-2a27-57d2-9233-08ae7b824704,b9473789-25ec-5211-bc02-d9ca8cf51997,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-04-11 09:20:00
66b5bfe9-3bd3-5252-90aa-2ccd49a90a7d,b9473789-25ec-5211-bc02-d9ca8cf51997,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-04-11 09:21:00
40dca65e-15a0-5323-81b4-0abbf62c03f9,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-12 09:17:00
6ad05772-fcbc-5e59-ab28-976abfbec1f8,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-12 09:18:00
ebf61c00-da9d-5984-ad3b-dc09686ce1c2,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-12 09:19:00
de115871-ec3a-5540-932e-87e80f39ad49,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-12 09:20:00
fff6bf73-77e2-56c3-9daa-68ea8f6f2b3f,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-04-12 09:21:00
d038b3f6-7033-59f7-aa5e-0aadebbada0e,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-04-12 09:22:00
842eba9f-9cfb-530a-be2b-fc21c45bac39,e57a2ef9-998a-533f-b118-76f1e7b337f3,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-13 09:18:00
909e123a-a080-583d-aeb5-5875b68eee6f,e57a2ef9-998a-533f-b118-76f1e7b337f3,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-13 09:19:00
14aa98e5-9865-5d74-b55d-3f4e08ec4989,e57a2ef9-998a-533f-b118-76f1e7b337f3,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-13 09:20:00
dd23ebae-39d0-5759-a308-49e6e487bb68,e57a2ef9-998a-533f-b118-76f1e7b337f3,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-13 09:21:00
2b72cf06-9ab5-5a4b-bdd6-2e28e5607cc3,e57a2ef9-998a-533f-b118-76f1e7b337f3,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-04-13 09:22:00
f18701b0-085d-5d89-be10-1896974d20b8,e57a2ef9-998a-533f-b118-76f1e7b337f3,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-04-13 09:23:00
1edb4512-1bec-5143-b4cb-a379e72ea57e,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2025-01-06 09:19:00
be5945b3-0b26-533d-ab73-5a3ca1f7434f,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2025-01-06 09:20:00
5220d873-cfdf-5f4d-b673-b93111c9f1bb,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2025-01-06 09:21:00
400eb67a-64d5-5c2d-8079-8e4714ea1f12,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2025-01-06 09:22:00
6a3fb8c2-6e9b-5ada-90b1-cff42ae472b6,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2025-01-06 09:23:00
e65be379-fe2f-5028-beed-fb69a5cd51fd,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2025-01-06 09:24:00
f087692f-3dc1-59ec-b9b2-01d6ad056d4b,b5106ef0-1bc0-53ce-9d43-9d576f10c407,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-03-27 09:22:00
8d2ade21-1e6d-5987-a223-caa70c64c41d,af52bac5-f376-5c1b-aa7e-ad1b7b74f623,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-01 09:23:00
e93e9b8e-18e8-540e-8b4a-97f6df286351,af52bac5-f376-5c1b-aa7e-ad1b7b74f623,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-01 09:24:00
8d17aefc-ea8d-5a42-baee-0b082794b43c,c8d38c18-ef0d-5a67-a841-2a7855b56940,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-06 09:24:00
89051194-dc21-594b-928d-7fad644e0e8b,c8d38c18-ef0d-5a67-a841-2a7855b56940,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-06 09:25:00
c2638e89-5191-5175-bff5-ed6a1022048c,c8d38c18-ef0d-5a67-a841-2a7855b56940,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-06 09:26:00
98c88769-0133-5353-a910-ea0532c064df,c8d38c18-ef0d-5a67-a841-2a7855b56940,4,REJECTED,Application moved to REJECTED,LOS_ENGINE,2026-04-06 09:27:00
66952389-06dd-5d22-a9ac-9fdc7194ae18,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-11 09:25:00
7c99cd2a-6b0b-5d0c-ac05-e3bd4d3796dc,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-11 09:26:00
44b4e756-2e6a-5a34-b1b5-305fd5eba85c,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-11 09:27:00
d02e12a8-f6a0-598d-bc1c-ecb379f12e1f,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-11 09:28:00
fbb23aed-5d23-5783-b736-c5a2d697fc60,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,5,REJECTED,Application moved to REJECTED,LOS_ENGINE,2026-04-11 09:29:00
f41435f9-7e23-5634-82eb-f64902768ff1,8a47a28f-f05e-53a0-b946-48468219430d,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-16 09:26:00
d6f418cc-fcd6-5fb0-a3c9-9d4aa9b1a8eb,8a47a28f-f05e-53a0-b946-48468219430d,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-16 09:27:00
5d3c7d86-4b14-5993-ada2-e504dbf086af,8a47a28f-f05e-53a0-b946-48468219430d,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-16 09:28:00
e305de94-d925-5a11-8837-76d1cd986fcb,8a47a28f-f05e-53a0-b946-48468219430d,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-16 09:29:00
1a1ebd05-4d00-573a-bace-67f66282034d,8a47a28f-f05e-53a0-b946-48468219430d,5,MANUAL_REVIEW,Application moved to MANUAL_REVIEW,UNDERWRITER,2026-04-16 09:30:00
2286b246-1d31-55b7-87a8-b3af88f16b92,fa4c2679-b157-5550-b751-4697069d4086,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-21 09:27:00
93c97dff-e23b-5c95-9704-183ac68f7d3f,fa4c2679-b157-5550-b751-4697069d4086,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-21 09:28:00
f258faa6-0f47-5ff1-bba1-68d7075a8d0d,fa4c2679-b157-5550-b751-4697069d4086,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-21 09:29:00
5c4074ba-3938-5362-8597-dfaab992719e,fa4c2679-b157-5550-b751-4697069d4086,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-21 09:30:00
10f501f0-329f-5520-bf51-e25198e847a8,fa4c2679-b157-5550-b751-4697069d4086,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-04-21 09:31:00
8c890a27-8376-5e6b-9d75-771b9057dfd9,6760c9d5-2896-5c35-9f96-56d980c5f8ae,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-04-26 09:28:00
05cecdc1-53fa-53ff-b289-0da5fcbe5656,6760c9d5-2896-5c35-9f96-56d980c5f8ae,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-04-26 09:29:00
84e41ae0-9578-512d-a473-9fa1336bac02,6760c9d5-2896-5c35-9f96-56d980c5f8ae,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-04-26 09:30:00
f51d57c5-fb15-5606-b89e-f3ac223c8bb7,6760c9d5-2896-5c35-9f96-56d980c5f8ae,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-04-26 09:31:00
0520ef24-df1a-5d15-96da-9b2d18f56e4c,6760c9d5-2896-5c35-9f96-56d980c5f8ae,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-04-26 09:32:00
af2dd91a-2274-5613-b590-7f5f9d35fb71,6760c9d5-2896-5c35-9f96-56d980c5f8ae,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-04-26 09:33:00
f585a664-09ea-5cdd-86d8-45776b6840b7,35749f54-8cdb-56d9-8f13-f8bdea46301b,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-05-01 09:29:00
55a34bfa-c0a4-55ef-a514-1a7dbabbe54e,35749f54-8cdb-56d9-8f13-f8bdea46301b,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-05-01 09:30:00
43624b13-98ec-5f9a-8577-159c05add85e,35749f54-8cdb-56d9-8f13-f8bdea46301b,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-05-01 09:31:00
2a29922a-a470-578a-a5ec-3da6c878dec3,35749f54-8cdb-56d9-8f13-f8bdea46301b,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-05-01 09:32:00
7cc28207-d9f7-5875-b776-07a69ccdc32b,35749f54-8cdb-56d9-8f13-f8bdea46301b,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-05-01 09:33:00
8b868b38-faad-553a-b69b-316fc5c569c3,35749f54-8cdb-56d9-8f13-f8bdea46301b,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-05-01 09:34:00
a6d4ef50-472c-52cb-bf01-5738a548c8a3,439e1b77-73e4-577a-8c40-44664b26c0f7,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-05-11 09:30:00
bcd9e3e5-4e78-522b-b781-02cb5b9011aa,439e1b77-73e4-577a-8c40-44664b26c0f7,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-05-11 09:31:00
fc130fef-3dcb-595e-af66-5a70a51aa854,439e1b77-73e4-577a-8c40-44664b26c0f7,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-05-11 09:32:00
bc3c1c82-98c0-57b9-afdd-1e1940666cba,439e1b77-73e4-577a-8c40-44664b26c0f7,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-05-11 09:33:00
611a8747-6e18-5cf9-96e7-551d3ffb2bb4,439e1b77-73e4-577a-8c40-44664b26c0f7,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-05-11 09:34:00
3fd79e15-2947-596c-a4b3-30df2b7a72fa,439e1b77-73e4-577a-8c40-44664b26c0f7,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-05-11 09:35:00
161b4e3e-455f-5c18-beb1-067129b6b10d,0eec06bf-9384-561a-a16b-8e167328b87b,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-05-12 09:31:00
73d73e7f-64d4-51a2-a11a-8576fc3812b0,0eec06bf-9384-561a-a16b-8e167328b87b,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-05-12 09:32:00
640eac3c-296e-5401-93a7-cb0d367aa7f2,0eec06bf-9384-561a-a16b-8e167328b87b,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-05-12 09:33:00
12e13d61-56ac-5fd3-8db6-b04199b9b1c9,0eec06bf-9384-561a-a16b-8e167328b87b,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-05-12 09:34:00
7a14c1a8-ca35-5178-bfea-c7cbb678528d,0eec06bf-9384-561a-a16b-8e167328b87b,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-05-12 09:35:00
514e932d-eb81-5397-b544-6f73dd537434,0eec06bf-9384-561a-a16b-8e167328b87b,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-05-12 09:36:00
8beac22a-7ced-560b-ac7a-129602fa3d7c,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2026-05-13 09:32:00
f107ebff-a98a-5a51-993e-6314acee335b,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2026-05-13 09:33:00
e8b6f202-df88-5e91-80fd-3c78ad319ed4,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2026-05-13 09:34:00
c81c8fec-1e44-56d4-949e-304d01179fa0,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2026-05-13 09:35:00
af3877d4-90ac-51d9-974c-7ffee793b454,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2026-05-13 09:36:00
f3a9de2a-19bc-527c-91e3-8f345bc07906,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2026-05-13 09:37:00
d656d922-0757-5b05-97f2-bd4d97b7fa59,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,1,RECEIVED,Application moved to RECEIVED,SYSTEM,2025-02-05 09:33:00
87c48bbe-ed01-56b4-b46b-798bdca9ea91,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,2,VALIDATING,Application moved to VALIDATING,SYSTEM,2025-02-05 09:34:00
289884ab-bbe2-50c4-98fb-b5057dbef5a8,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,3,CREDIT_ASSESSMENT,Application moved to CREDIT_ASSESSMENT,LOS_ENGINE,2025-02-05 09:35:00
6989be82-1c34-56d1-8b79-1958e78a90a1,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,4,RULE_EVALUATION,Application moved to RULE_EVALUATION,LOS_ENGINE,2025-02-05 09:36:00
d7d2fc64-8c53-5730-92d9-c832b34b4308,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,5,APPROVED,Application moved to APPROVED,LOS_ENGINE,2025-02-05 09:37:00
da25d4c3-4c9e-5ee8-b1bc-d74f2093f8ef,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,6,DISBURSEMENT_REQUESTED,Application moved to DISBURSEMENT_REQUESTED,LOS_ENGINE,2025-02-05 09:38:00
