rule_evaluation_id,loan_application_id,rule_code,rule_name,rule_category,input_value,comparison_operator,threshold_value,evaluation_result,decision_impact,failure_reason,rule_version,evaluated_at,created_at
0e6044a2-4b82-5e17-8004-915a634967a8,483af3a1-afca-5552-9372-3a03a7413d79,MIN_AGE,Minimum age check,ELIGIBILITY,30,GTE,18,PASS,NONE,,V1,2026-02-20 09:18:00,2026-02-20 09:18:00
7223124e-4b6e-5723-a111-c17aefa9d5bc,483af3a1-afca-5552-9372-3a03a7413d79,MIN_INCOME,Minimum income check,CREDIT,10000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-02-20 09:18:00,2026-02-20 09:18:00
66c5f615-2387-56a4-8c8d-4db0eb943fd8,483af3a1-afca-5552-9372-3a03a7413d79,MAX_DTI,Maximum debt-to-income check,RISK,0.2222,LTE,0.5000,PASS,NONE,,V1,2026-02-20 09:18:00,2026-02-20 09:18:00
0ed6f465-2895-533e-8915-2ba2298a429f,b9473789-25ec-5211-bc02-d9ca8cf51997,MIN_AGE,Minimum age check,ELIGIBILITY,29,GTE,18,PASS,NONE,,V1,2026-04-11 09:19:00,2026-04-11 09:19:00
11cc8d9d-11d7-5b91-890c-f9d1136a6824,b9473789-25ec-5211-bc02-d9ca8cf51997,MIN_INCOME,Minimum income check,CREDIT,12000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-04-11 09:19:00,2026-04-11 09:19:00
7a0f5b30-bf27-577f-a9d4-03656a26e598,b9473789-25ec-5211-bc02-d9ca8cf51997,MAX_DTI,Maximum debt-to-income check,RISK,0.1852,LTE,0.5000,PASS,NONE,,V1,2026-04-11 09:19:00,2026-04-11 09:19:00
eba1d968-28a5-5edc-83cd-fa0a9675518f,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,MIN_AGE,Minimum age check,ELIGIBILITY,28,GTE,18,PASS,NONE,,V1,2026-04-12 09:20:00,2026-04-12 09:20:00
6e56dc54-1735-566c-84b5-684b3d276495,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,MIN_INCOME,Minimum income check,CREDIT,14000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-04-12 09:20:00,2026-04-12 09:20:00
791c4b7b-a7f3-5a83-ac76-d0cf711f9ea3,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,MAX_DTI,Maximum debt-to-income check,RISK,0.1587,LTE,0.5000,PASS,NONE,,V1,2026-04-12 09:20:00,2026-04-12 09:20:00
5091d497-f957-57f3-856b-1695e254aee4,e57a2ef9-998a-533f-b118-76f1e7b337f3,MIN_AGE,Minimum age check,ELIGIBILITY,28,GTE,18,PASS,NONE,,V1,2026-04-13 09:21:00,2026-04-13 09:21:00
362df94f-d241-574d-951d-343096ae6fbe,e57a2ef9-998a-533f-b118-76f1e7b337f3,MIN_INCOME,Minimum income check,CREDIT,16000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-04-13 09:21:00,2026-04-13 09:21:00
21d5ca3c-f031-5b74-953e-44384415bac9,e57a2ef9-998a-533f-b118-76f1e7b337f3,MAX_DTI,Maximum debt-to-income check,RISK,0.1389,LTE,0.5000,PASS,NONE,,V1,2026-04-13 09:21:00,2026-04-13 09:21:00
7fbd3ea4-d7ff-51cf-b303-c36cd4a88218,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,MIN_AGE,Minimum age check,ELIGIBILITY,25,GTE,18,PASS,NONE,,V1,2025-01-06 09:22:00,2025-01-06 09:22:00
3036a939-dccd-5198-9830-22cd6ec2d170,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,MIN_INCOME,Minimum income check,CREDIT,18000000.00,GTE,10000000.00,PASS,NONE,,V1,2025-01-06 09:22:00,2025-01-06 09:22:00
8e4543cd-1422-5c6d-b9a8-6c95e77d48eb,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,MAX_DTI,Maximum debt-to-income check,RISK,0.1235,LTE,0.5000,PASS,NONE,,V1,2025-01-06 09:22:00,2025-01-06 09:22:00
bfc95921-ffe1-5b07-995b-6a6c3f197aa5,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,MIN_AGE,Minimum age check,ELIGIBILITY,36,GTE,18,PASS,NONE,,V1,2026-04-11 09:28:00,2026-04-11 09:28:00
29e7d889-cce8-5a4b-b520-d887b7c44889,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,MIN_INCOME,Minimum income check,CREDIT,7500000.00,GTE,10000000.00,FAIL,REJECT,Income below minimum threshold,V1,2026-04-11 09:28:00,2026-04-11 09:28:00
03391b86-46c5-5eac-91a1-60de6a32e133,ca73e0e4-b3f7-562c-afa5-9d20d204c76d,MAX_DTI,Maximum debt-to-income check,RISK,0.2963,LTE,0.5000,PASS,NONE,,V1,2026-04-11 09:28:00,2026-04-11 09:28:00
43eadd8d-371f-5a03-9388-e8b45985e81e,8a47a28f-f05e-53a0-b946-48468219430d,MIN_AGE,Minimum age check,ELIGIBILITY,35,GTE,18,PASS,NONE,,V1,2026-04-16 09:29:00,2026-04-16 09:29:00
1e3c58fc-5a6d-53ea-b62e-fc057784cc13,8a47a28f-f05e-53a0-b946-48468219430d,MIN_INCOME,Minimum income check,CREDIT,14000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-04-16 09:29:00,2026-04-16 09:29:00
72016a6b-e8c7-5b72-a04f-d673632f2dbb,8a47a28f-f05e-53a0-b946-48468219430d,MAX_DTI,Maximum debt-to-income check,RISK,0.5500,LTE,0.5000,REFER,REFER,Debt-to-income ratio requires manual review,V1,2026-04-16 09:29:00,2026-04-16 09:29:00
a81272be-0394-5e14-a785-83d3a663bb88,fa4c2679-b157-5550-b751-4697069d4086,MIN_AGE,Minimum age check,ELIGIBILITY,34,GTE,18,PASS,NONE,,V1,2026-04-21 09:30:00,2026-04-21 09:30:00
d754b4dc-0a7d-5546-b931-971c0cd1a8ca,fa4c2679-b157-5550-b751-4697069d4086,MIN_INCOME,Minimum income check,CREDIT,16000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-04-21 09:30:00,2026-04-21 09:30:00
f9456986-68e9-51c4-94ee-b7bde935ff39,fa4c2679-b157-5550-b751-4697069d4086,MAX_DTI,Maximum debt-to-income check,RISK,0.1389,LTE,0.5000,PASS,NONE,,V1,2026-04-21 09:30:00,2026-04-21 09:30:00
62c36e3a-4101-5730-85fe-476803454f27,6760c9d5-2896-5c35-9f96-56d980c5f8ae,MIN_AGE,Minimum age check,ELIGIBILITY,33,GTE,18,PASS,NONE,,V1,2026-04-26 09:31:00,2026-04-26 09:31:00
51809530-3a36-55a4-bfb8-bcc6472121c8,6760c9d5-2896-5c35-9f96-56d980c5f8ae,MIN_INCOME,Minimum income check,CREDIT,18000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-04-26 09:31:00,2026-04-26 09:31:00
a617d50d-0ba8-53e9-8ea0-a399d2e9928d,6760c9d5-2896-5c35-9f96-56d980c5f8ae,MAX_DTI,Maximum debt-to-income check,RISK,0.1235,LTE,0.5000,PASS,NONE,,V1,2026-04-26 09:31:00,2026-04-26 09:31:00
6fed46b1-e52a-53dd-b179-39ec6d13ed2a,35749f54-8cdb-56d9-8f13-f8bdea46301b,MIN_AGE,Minimum age check,ELIGIBILITY,40,GTE,18,PASS,NONE,,V1,2026-05-01 09:32:00,2026-05-01 09:32:00
b12be976-5212-5ef4-aa43-25d5a73afdaf,35749f54-8cdb-56d9-8f13-f8bdea46301b,MIN_INCOME,Minimum income check,CREDIT,20000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-05-01 09:32:00,2026-05-01 09:32:00
0d8185b9-7c3c-5756-8b4d-867f223faf41,35749f54-8cdb-56d9-8f13-f8bdea46301b,MAX_DTI,Maximum debt-to-income check,RISK,0.1111,LTE,0.5000,PASS,NONE,,V1,2026-05-01 09:32:00,2026-05-01 09:32:00
da475f13-dcf7-5868-8d87-cfa9adadcaf9,439e1b77-73e4-577a-8c40-44664b26c0f7,MIN_AGE,Minimum age check,ELIGIBILITY,39,GTE,18,PASS,NONE,,V1,2026-05-11 09:33:00,2026-05-11 09:33:00
de195da5-6068-5fcd-b445-e549c6cdd751,439e1b77-73e4-577a-8c40-44664b26c0f7,MIN_INCOME,Minimum income check,CREDIT,22000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-05-11 09:33:00,2026-05-11 09:33:00
22324570-a803-55ad-a0f3-f7a1b391460c,439e1b77-73e4-577a-8c40-44664b26c0f7,MAX_DTI,Maximum debt-to-income check,RISK,0.1010,LTE,0.5000,PASS,NONE,,V1,2026-05-11 09:33:00,2026-05-11 09:33:00
0e9d7686-1804-5e27-b372-147b4c17cb04,0eec06bf-9384-561a-a16b-8e167328b87b,MIN_AGE,Minimum age check,ELIGIBILITY,38,GTE,18,PASS,NONE,,V1,2026-05-12 09:34:00,2026-05-12 09:34:00
6b9e11c2-48b0-5e08-b966-91166a617f2a,0eec06bf-9384-561a-a16b-8e167328b87b,MIN_INCOME,Minimum income check,CREDIT,24000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-05-12 09:34:00,2026-05-12 09:34:00
40a039e6-9823-5ff0-8a61-c762167e3755,0eec06bf-9384-561a-a16b-8e167328b87b,MAX_DTI,Maximum debt-to-income check,RISK,0.0926,LTE,0.5000,PASS,NONE,,V1,2026-05-12 09:34:00,2026-05-12 09:34:00
f67ec1fd-858a-582e-86c7-caec289cd85d,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,MIN_AGE,Minimum age check,ELIGIBILITY,37,GTE,18,PASS,NONE,,V1,2026-05-13 09:35:00,2026-05-13 09:35:00
170aea41-4901-5e2e-bda0-5c89891ddbd7,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,MIN_INCOME,Minimum income check,CREDIT,26000000.00,GTE,10000000.00,PASS,NONE,,V1,2026-05-13 09:35:00,2026-05-13 09:35:00
c1dd7bfb-b270-532e-8753-4603a2b1dffb,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,MAX_DTI,Maximum debt-to-income check,RISK,0.0855,LTE,0.5000,PASS,NONE,,V1,2026-05-13 09:35:00,2026-05-13 09:35:00
df855e39-e80f-5275-bbc3-5d4f4a4ca141,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,MIN_AGE,Minimum age check,ELIGIBILITY,34,GTE,18,PASS,NONE,,V1,2025-02-05 09:36:00,2025-02-05 09:36:00
5a03922c-c8cf-5326-bd67-d2d9f39a456a,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,MIN_INCOME,Minimum income check,CREDIT,10000000.00,GTE,10000000.00,PASS,NONE,,V1,2025-02-05 09:36:00,2025-02-05 09:36:00
9db2e750-4f54-57ae-9300-5c402b7bcb58,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,MAX_DTI,Maximum debt-to-income check,RISK,0.2222,LTE,0.5000,PASS,NONE,,V1,2025-02-05 09:36:00,2025-02-05 09:36:00
