transaction_id,transaction_reference,contract_id,installment_id,transaction_type,transaction_amount,principal_amount,interest_amount,payment_method,transaction_status,external_reference,transaction_at,created_at,updated_at
8a168f66-c0b9-5ca2-9215-451b6ba9b08a,TRX20250306000014R02,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,b7721f49-7079-5e07-95ed-2d99f46b86d6,REPAYMENT,4400000.00,4000000.00,400000.00,AUTO_DEBIT,SUCCESS,BANK2025030600001402,2025-03-06 09:15:00,2025-03-06 09:15:01,2025-03-06 09:15:02
d06213f3-9ca3-5ca2-ae7f-70aa641c7122,TRX20250406000014R03,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,e5c50f97-564f-54d3-ad22-77cd5e40509d,REPAYMENT,4320000.00,4000000.00,320000.00,BANK_TRANSFER,SUCCESS,BANK2025040600001403,2025-04-06 09:15:00,2025-04-06 09:15:01,2025-04-06 09:15:02
6a68aab3-d376-526e-a598-2ac212295250,TRX20250506000014R04,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,ce4a9eda-e5f2-5379-be55-dbad581bc7b9,REPAYMENT,4240000.00,4000000.00,240000.00,AUTO_DEBIT,SUCCESS,BANK2025050600001404,2025-05-06 09:15:00,2025-05-06 09:15:01,2025-05-06 09:15:02
f03d953e-7d95-52f3-a180-d60d73a87614,TRX20250606000014R05,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,21824033-de3a-561f-9b0b-abfdb800a780,REPAYMENT,4160000.00,4000000.00,160000.00,BANK_TRANSFER,SUCCESS,BANK2025060600001405,2025-06-06 09:15:00,2025-06-06 09:15:01,2025-06-06 09:15:02
2a11bd20-c91f-527f-afcf-57e4c6ea707a,TRX20250706000014R06,50c2d458-fb8f-533f-9ca6-dc0ecfa6637a,5d2b696f-746b-5080-8f03-ba235d009538,REPAYMENT,4080000.00,4000000.00,80000.00,AUTO_DEBIT,SUCCESS,BANK2025070600001406,2025-07-06 09:15:00,2025-07-06 09:15:01,2025-07-06 09:15:02
247bb43e-e4ce-563f-a6b0-2d9085e53995,TRX20260501000024D,f50ea0ce-8073-56ad-a8e6-2f300ea654fc,,DISBURSEMENT,56000000.00,56000000.00,0.00,BANK_TRANSFER,PENDING,,2026-05-01 09:35:00,2026-05-01 09:35:00,2026-05-01 09:35:00
122f9227-18f1-57ba-82bd-bb0a6f6fc959,TRX20260511000025D,2c388d35-633d-5223-b05b-6953372d60f7,,DISBURSEMENT,16000000.00,16000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20260511000025,2026-05-11 09:36:00,2026-05-11 09:36:00,2026-05-11 09:36:00
865bd2ff-e567-51c0-95ba-a7f3c43afbcd,TRX20260512000026D,16c42b5b-d3f0-5cf0-a9de-ca96509683a4,,DISBURSEMENT,24000000.00,24000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20260512000026,2026-05-12 09:37:00,2026-05-12 09:37:00,2026-05-12 09:37:00
fddfa1f0-b42c-5fc8-b738-face917d9d2f,TRX20260612000026R01,16c42b5b-d3f0-5cf0-a9de-ca96509683a4,4c3e3384-aa35-5ae0-bd87-3b9e91955100,REPAYMENT,813333.34,333333.34,480000.00,BANK_TRANSFER,SUCCESS,BANK2026061200002601,2026-06-12 09:15:00,2026-06-12 09:15:01,2026-06-12 09:15:02
84d0f370-af2d-5e53-920d-1cd47160bd91,TRX20260513000027D,7d5f5758-22b2-5166-be2e-bfc979b77475,,DISBURSEMENT,32000000.00,32000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20260513000027,2026-05-13 09:38:00,2026-05-13 09:38:00,2026-05-13 09:38:00
e4256ede-f0ca-562b-b2ec-6cdfc1272029,TRX20260613000027R01,7d5f5758-22b2-5166-be2e-bfc979b77475,e72e593a-7551-5d1e-b9b2-23c14a061e3f,REPAYMENT,1422222.22,888888.89,533333.33,BANK_TRANSFER,SUCCESS,BANK2026061300002701,2026-06-13 09:15:00,2026-06-13 09:15:01,2026-06-13 09:15:02
fe56ee17-5f8f-519c-91b6-b2aabd21019f,TRX20260713000027R02,7d5f5758-22b2-5166-be2e-bfc979b77475,d3da9252-b3eb-5f0f-8eac-e9aa2dcab174,REPAYMENT,1407407.41,888888.89,518518.52,AUTO_DEBIT,SUCCESS,BANK2026071300002702,2026-07-13 09:15:00,2026-07-13 09:15:01,2026-07-13 09:15:02
06f8ad5d-951d-5ae8-8212-1275098b5269,TRX20250205000028D,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,,DISBURSEMENT,40000000.00,40000000.00,0.00,BANK_TRANSFER,SUCCESS,BANK20250205000028,2025-02-05 09:39:00,2025-02-05 09:39:00,2025-02-05 09:39:00
14b7ed9a-b5e0-5c3d-b021-b869521c8d60,TRX20250305000028R01,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,e552e69e-eea4-572d-bf49-e4baa4f5772b,REPAYMENT,7466666.67,6666666.67,800000.00,BANK_TRANSFER,SUCCESS,BANK2025030500002801,2025-03-05 09:15:00,2025-03-05 09:15:01,2025-03-05 09:15:02
28c816f2-84e8-58b4-ae6c-ca930f74d8fb,TRX20250405000028R02,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,b031aed5-4e41-55ee-9956-11be1ed3f880,REPAYMENT,7333333.34,6666666.67,666666.67,AUTO_DEBIT,SUCCESS,BANK2025040500002802,2025-04-05 09:15:00,2025-04-05 09:15:01,2025-04-05 09:15:02
de88e3b3-f93c-5260-b062-1fdd20d219aa,TRX20250505000028R03,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,b8ec3766-6ea1-589c-bc5d-1fbf3d247557,REPAYMENT,7200000.00,6666666.67,533333.33,BANK_TRANSFER,SUCCESS,BANK2025050500002803,2025-05-05 09:15:00,2025-05-05 09:15:01,2025-05-05 09:15:02
ba8cf7fc-aeeb-5c53-be14-f3e295227a40,TRX20250605000028R04,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,85ca7de8-a094-5615-a6be-423bb4160eb3,REPAYMENT,7066666.67,6666666.67,400000.00,AUTO_DEBIT,SUCCESS,BANK2025060500002804,2025-06-05 09:15:00,2025-06-05 09:15:01,2025-06-05 09:15:02
d89a7352-1f42-53a2-bd23-1c978987fa87,TRX20250705000028R05,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,d5055df2-2980-520c-a228-3f1fc44a7d50,REPAYMENT,6933333.34,6666666.67,266666.67,BANK_TRANSFER,SUCCESS,BANK2025070500002805,2025-07-05 09:15:00,2025-07-05 09:15:01,2025-07-05 09:15:02
ab244692-43da-5681-912a-fdb1c60b02e5,TRX20250805000028R06,f7cfb30e-062c-5533-9295-f2fd8f86d7ed,96f109e1-45de-5c22-88e6-86dc18194ba2,REPAYMENT,6799999.98,6666666.65,133333.33,AUTO_DEBIT,SUCCESS,BANK2025080500002806,2025-08-05 09:15:00,2025-08-05 09:15:01,2025-08-05 09:15:02
